val_loss,val_kappa,val_accuracy,epoch,step,train_loss,train_kappa,train_accuracy,test_loss,test_kappa,test_accuracy
0.4180936813354492,0.896445631980896,0.8694241642951965,0,308,,,,,,
,,,0,308,1.1310524940490723,0.7618581056594849,0.7204868197441101,,,
0.4129827916622162,0.9085845947265625,0.8718572854995728,1,617,,,,,,
,,,1,617,0.2381184697151184,0.9426132440567017,0.9276876449584961,,,
0.3882758319377899,0.9091428518295288,0.8795620203018188,2,926,,,,,,
,,,2,926,0.16778963804244995,0.9594691395759583,0.9465517401695251,,,
0.4049455225467682,0.9146899580955505,0.8807786107063293,3,1235,,,,,,
,,,3,1235,0.14053834974765778,0.9674749374389648,0.9576064944267273,,,
0.4094998240470886,0.9120768308639526,0.8868613243103027,4,1544,,,,,,
,,,4,1544,0.1339273452758789,0.9685092568397522,0.9548681378364563,,,
0.3970596194267273,0.907541811466217,0.8888888955116272,5,1853,,,,,,
,,,5,1853,0.13309653103351593,0.9671297073364258,0.9614604711532593,,,
0.3760969638824463,0.909207820892334,0.8925385475158691,6,2162,,,,,,
,,,6,2162,0.09995777159929276,0.973983645439148,0.9669371247291565,,,
0.38876065611839294,0.9175147414207458,0.8945661187171936,7,2471,,,,,,
,,,7,2471,0.1011805534362793,0.9761955738067627,0.9663286209106445,,,
0.41401731967926025,0.8985393047332764,0.8840227127075195,8,2780,,,,,,
,,,8,2780,0.08383085578680038,0.981130838394165,0.9709939360618591,,,
0.4271283745765686,0.9036577939987183,0.8880778551101685,9,3089,,,,,,
,,,9,3089,0.08354970067739487,0.9813645482063293,0.9734280109405518,,,
0.4268955886363983,0.915420651435852,0.886050283908844,10,3398,,,,,,
,,,10,3398,0.08662807196378708,0.9766654968261719,0.9698783159255981,,,
0.39684468507766724,0.9224324822425842,0.8949716091156006,11,3707,,,,,,
,,,11,3707,0.07708913832902908,0.9777103066444397,0.9723123908042908,,,
0.42757126688957214,0.907881498336792,0.8848337531089783,12,4016,,,,,,
,,,12,4016,0.08038407564163208,0.9809231758117676,0.9734280109405518,,,
0.4578944444656372,0.9113635420799255,0.8884833455085754,13,4325,,,,,,
,,,13,4325,0.07390563189983368,0.9800629019737244,0.974949300289154,,,
0.41724780201911926,0.9141368269920349,0.8929440379142761,14,4634,,,,,,
,,,14,4634,0.07694268226623535,0.9810271263122559,0.9736308455467224,,,
0.4524354040622711,0.9195705652236938,0.8941605687141418,15,4943,,,,,,
,,,15,4943,0.06935612857341766,0.984987735748291,0.977281928062439,,,
0.445559561252594,0.9194002747535706,0.8957826495170593,16,5252,,,,,,
,,,16,5252,0.08354403078556061,0.9828563928604126,0.9741379022598267,,,
,,,17,5253,,,,0.4018843173980713,0.9155324101448059,0.8964957594871521
